alpha_full,exposure,abs_rel,rmse_log
0.0,ev_0,0.041859550079441324,0.05627262149563269
0.0,ev_1,0.04188543806480513,0.056399905928040686
0.0,ev_2,0.0424964573754127,0.05715866488037231
0.0,ev_5,0.05513674647598226,0.07261405950099725
0.0,ev_10,0.05971714292311421,0.07652460209323395
0.25,ev_0,0.040987774051098685,0.056793923265200885
0.25,ev_1,0.04100255749494647,0.0568873767483647
0.25,ev_2,0.04160912847592742,0.05759643223879772
0.25,ev_5,0.054845224058095686,0.07307643088617856
0.25,ev_10,0.059366118711168134,0.07674404793269321
0.5,ev_0,0.040778927966392244,0.057887095001775205
0.5,ev_1,0.04078899294551352,0.057947053331859594
0.5,ev_2,0.041360467627909014,0.05860070689022123
0.5,ev_5,0.05501496979823301,0.07398186923265172
0.5,ev_10,0.05941991648151343,0.07739033187175873
0.75,ev_0,0.04130847885044426,0.05951103307536172
0.75,ev_1,0.04130723158840602,0.05953899347669063
0.75,ev_2,0.041835860976304276,0.06013430951400945
0.75,ev_5,0.05566808661537793,0.07530897106295986
0.75,ev_10,0.059887462553156856,0.07844754551736587
1.0,ev_0,0.043744704156557894,0.0621358786651825
1.0,ev_1,0.04383000473973698,0.062285657047776
1.0,ev_2,0.044183319075544236,0.06272203689319489
1.0,ev_5,0.055222704923343524,0.07427686572977302
1.0,ev_10,0.05910285725357381,0.07783426892639728
