alpha_full,exposure,abs_rel,rmse_log,scene_count,source_file
0.0,ev_0,0.041859550079441324,0.05368076254911415,4,0.csv
0.0,ev_1,0.04188543806480513,0.053831692500512285,4,0.csv
0.0,ev_2,0.0424964573754127,0.05458530118558571,4,0.csv
0.0,ev_5,0.05513674647598226,0.07083353901049605,4,0.csv
0.0,ev_10,0.05971714292311421,0.07448201743242348,4,0.csv
0.25,ev_0,0.040987774051098685,0.053165239789238476,4,0.25.csv
0.25,ev_1,0.04100255749494647,0.05329035378724976,4,0.25.csv
0.25,ev_2,0.04160912847592742,0.054021888195183804,4,0.25.csv
0.25,ev_5,0.054845224058095686,0.07070311373167626,4,0.25.csv
0.25,ev_10,0.059366118711168134,0.07414263520981337,4,0.25.csv
0.5,ev_0,0.040778927966392244,0.05309832928157975,4,0.5.csv
0.5,ev_1,0.04078899294551352,0.05319144666364839,4,0.5.csv
0.5,ev_2,0.041360467627909014,0.05389582970292872,4,0.5.csv
0.5,ev_5,0.05501496979823301,0.07097895241520633,4,0.5.csv
0.5,ev_10,0.05941991648151343,0.07421062776256016,4,0.5.csv
0.75,ev_0,0.04130847885044426,0.05355428736573162,4,0.75.csv
0.75,ev_1,0.04130723158840602,0.053608134450660906,4,0.75.csv
0.75,ev_2,0.041835860976304276,0.054275533532438074,4,0.75.csv
0.75,ev_5,0.05566808661537793,0.0716687691915399,4,0.75.csv
0.75,ev_10,0.059887462553156856,0.07469607232568055,4,0.75.csv
1.0,ev_0,nan,nan,1,1.0.csv
1.0,ev_1,nan,nan,1,1.0.csv
1.0,ev_2,nan,nan,0,1.0.csv
1.0,ev_5,nan,nan,0,1.0.csv
1.0,ev_10,nan,nan,0,1.0.csv
